,noun,tag,t_count
1506,고문관,CV_POSITION,4287
1514,지망생,CV_POSITION,4287
1513,왕비,CV_POSITION,4287
1512,작자,CV_POSITION,4287
1511,조폭,CV_POSITION,4287
1510,심봉사무리,CV_POSITION,4287
1509,골빈 페미,CV_POSITION,4287
1508,장애인인줄ㅋㅋㅋㅋㅋ,CV_POSITION,4287
1507,트랜스젠더,CV_POSITION,4287
1505,리더,CV_POSITION,4287
1496,학부모,CV_POSITION,4287
1504,룸망주,CV_POSITION,4287
1503,레카맨,CV_POSITION,4287
1502,가카,CV_POSITION,4287
1501,라이더,CV_POSITION,4287
1500,베이글녀,CV_POSITION,4287
1499,슈퍼모델,CV_POSITION,4287
1498,대표주자,CV_POSITION,4287
1497,황제,CV_POSITION,4287
1473,멤버,CV_POSITION,4287
1471,경제인,CV_POSITION,4287
1516,여자 운전자,CV_POSITION,4287
1470,박사,CV_POSITION,4287
1447,부장,CV_POSITION,4287
1446,농아자,CV_POSITION,4287
1445,멸공,CV_POSITION,4287
1444,백정,CV_POSITION,4287
1443,좌빨,CV_POSITION,4287
1442,지성인,CV_POSITION,4287
1441,노비,CV_POSITION,4287
1440,왕자,CV_POSITION,4287
1439,휴거지,CV_POSITION,4287
1438,원주민,CV_POSITION,4287
1437,문둔병환자,CV_POSITION,4287
1436,천재,CV_POSITION,4287
1435,띵잦,CV_POSITION,4287
1434,취준생,CV_POSITION,4287
1433,정신장애인,CV_POSITION,4287
1432,기초생활수급 백수,CV_POSITION,4287
1431,이장,CV_POSITION,4287
1430,흉자,CV_POSITION,4287
1429,수급자,CV_POSITION,4287
1448,헬조선인,CV_POSITION,4287
1449,고객,CV_POSITION,4287
1787,조션족,CV_POSITION,4287
1461,골빈 백마,CV_POSITION,4287
1469,청소도우미,CV_POSITION,4287
1468,담임,CV_POSITION,4287
1467,영웅,CV_POSITION,4287
1466,신,CV_POSITION,4287
1465,챙녀,CV_POSITION,4287
1464,보살,CV_POSITION,4287
1463,신용불량자,CV_POSITION,4287
1462,눍다리,CV_POSITION,4287
1460,간병인,CV_POSITION,4287
1451,자적자,CV_POSITION,4287
1459,센터,CV_POSITION,4287
1458,가입자,CV_POSITION,4287
1457,자가,CV_POSITION,4287
1456,노빠,CV_POSITION,4287
1455,수상자,CV_POSITION,4287
1454,부적응자,CV_POSITION,4287
1453,낙오자,CV_POSITION,4287
1452,떡대녀,CV_POSITION,4287
1515,떡근이,CV_POSITION,4287
1517,머구녀,CV_POSITION,4287
1605,조교,CV_POSITION,4287
1562,정신장애자,CV_POSITION,4287
1582,천상여자,CV_POSITION,4287
1581,정신병자,CV_POSITION,4287
1580,영부인,CV_POSITION,4287
1579,지적 장애인,CV_POSITION,4287
1578,수드라,CV_POSITION,4287
1577,흑둥이,CV_POSITION,4287
1576,줌마팬,CV_POSITION,4287
1575,스탯,CV_POSITION,4287
1574,지방 공무원,CV_POSITION,4287
1573,정신 장애자,CV_POSITION,4287
1572,성 장애인,CV_POSITION,4287
1571,아동,CV_POSITION,4287
1570,섬숭이,CV_POSITION,4287
1569,사노비,CV_POSITION,4287
1568,여자 팀장,CV_POSITION,4287
1567,상도남,CV_POSITION,4287
1566,삼촌팬,CV_POSITION,4287
1565,삼천궁녀,CV_POSITION,4287
1564,다방,CV_POSITION,4287
1583,스윗틀딱남,CV_POSITION,4287
1584,제작진,CV_POSITION,4287
1585,패배자,CV_POSITION,4287
1596,틀딱이,CV_POSITION,4287
1604,히잡녀,CV_POSITION,4287
1603,주연,CV_POSITION,4287
1602,터진련,CV_POSITION,4287
1601,여고딩,CV_POSITION,4287
1600,빠박이,CV_POSITION,4287
1599,서포터,CV_POSITION,4287
1598,수강생,CV_POSITION,4287
1597,BJ,CV_POSITION,4287
1595,딸바보,CV_POSITION,4287
